Airline,Source,Destination,Total_Stops,Price,Journey_day,Journey_month,Dep_hour,Dep_min,Arrival_hour,Arrival_min,Duration_hours,Duration_mins
Jet Airways,Kolkata,Banglore,1.0,10844,9,5,6,30,18,15,11,45
Air India,Banglore,New Delhi,1.0,11707,12,3,11,50,19,50,8,0
Jet Airways,Banglore,Delhi,0.0,5769,3,6,6,0,8,45,2,45
IndiGo,Mumbai,Hyderabad,0.0,2227,21,3,21,20,22,45,1,25
Jet Airways,Delhi,Cochin,2.0,10368,15,6,9,40,12,35,26,55
Jet Airways,Banglore,Delhi,0.0,7229,12,4,18,55,22,0,3,5
Jet Airways,Mumbai,Hyderabad,0.0,4995,3,6,7,5,8,30,1,25
Jet Airways,Delhi,Cochin,1.0,14924,3,6,7,5,12,35,5,30
Jet Airways,Delhi,Cochin,1.0,10262,6,6,15,0,19,0,28,0
Vistara,Kolkata,Banglore,1.0,8610,15,5,17,0,20,20,27,20
Multiple carriers,Delhi,Cochin,1.0,8073,15,5,9,0,21,0,12,0
Air India,Mumbai,Hyderabad,0.0,4307,12,3,21,5,22,25,1,20
Jet Airways,Delhi,Cochin,1.0,10262,24,6,13,0,19,0,6,0
Air Asia,Kolkata,Banglore,0.0,4409,12,4,19,55,22,25,2,30
IndiGo,Delhi,Cochin,1.0,5073,3,4,10,35,15,35,5,0
Jet Airways,Kolkata,Banglore,1.0,9663,15,5,21,10,4,40,7,30
Air India,Kolkata,Banglore,0.0,4460,3,4,20,45,23,20,2,35
SpiceJet,Banglore,Delhi,0.0,3311,27,5,5,55,8,35,2,40
Jet Airways,Banglore,Delhi,0.0,5769,12,6,18,55,22,0,3,5
Jet Airways,Delhi,Cochin,2.0,13292,9,6,21,25,19,0,21,35
IndiGo,Mumbai,Hyderabad,0.0,3175,21,5,16,55,18,25,1,30
Multiple carriers,Delhi,Cochin,1.0,16259,9,3,4,0,12,55,8,55
Air Asia,Banglore,Delhi,0.0,4483,18,5,23,55,2,45,2,50
Air Asia,Banglore,New Delhi,0.0,4284,18,3,5,50,8,40,2,50
Air India,Delhi,Cochin,3.0,10703,18,5,5,15,19,15,38,0
GoAir,Delhi,Cochin,1.0,4959,3,6,7,0,12,55,5,55
Vistara,Delhi,Cochin,0.0,6741,1,6,6,0,9,10,3,10
SpiceJet,Banglore,Delhi,0.0,4423,15,4,5,55,8,35,2,40
Air Asia,Delhi,Cochin,1.0,6151,27,3,16,45,22,15,5,30
Air India,Banglore,New Delhi,1.0,10924,3,3,6,55,13,20,6,25
Air India,Delhi,Cochin,2.0,12646,15,6,12,55,19,15,30,20
Jet Airways,Mumbai,Hyderabad,0.0,2759,9,5,19,35,21,5,1,30
Jet Airways,Kolkata,Banglore,1.0,12692,12,6,9,35,23,35,14,0
Multiple carriers,Delhi,Cochin,1.0,12402,3,6,7,0,19,0,12,0
IndiGo,Chennai,Kolkata,0.0,3858,12,5,14,45,17,5,2,20
Vistara,Kolkata,Banglore,1.0,8452,21,5,7,10,22,40,15,30
Jet Airways,Kolkata,Banglore,1.0,13044,12,6,18,55,16,20,21,25
Jet Airways,Delhi,Cochin,1.0,10262,9,6,17,30,12,35,19,5
IndiGo,Delhi,Cochin,1.0,10958,18,5,23,30,4,35,5,5
Jet Airways,Mumbai,Hyderabad,0.0,5678,3,3,7,10,8,35,1,25
Jet Airways,Kolkata,Banglore,1.0,11134,24,3,13,55,20,40,6,45
SpiceJet,Banglore,Delhi,0.0,3971,3,4,21,10,0,5,2,55
Multiple carriers,Delhi,Cochin,1.0,8055,27,3,8,55,21,0,12,5
Jet Airways,Delhi,Cochin,1.0,17549,9,3,8,0,4,25,20,25
IndiGo,Delhi,Cochin,1.0,5883,12,6,11,25,1,30,14,5
IndiGo,Delhi,Cochin,1.0,6386,15,6,2,0,7,45,5,45
Air Asia,Kolkata,Banglore,2.0,5192,21,5,15,10,23,30,8,20
SpiceJet,Chennai,Kolkata,0.0,3597,21,5,17,45,20,5,2,20
Vistara,Banglore,Delhi,0.0,4878,12,6,17,0,19,35,2,35
Jet Airways,Kolkata,Banglore,1.0,14781,15,5,8,25,19,50,11,25
Air India,Banglore,Delhi,0.0,6961,21,6,10,0,12,45,2,45
Vistara,Kolkata,Banglore,1.0,8452,15,5,17,0,10,45,17,45
Air India,Kolkata,Banglore,1.0,8996,9,6,9,10,13,15,4,5
Air Asia,Kolkata,Banglore,0.0,4409,1,5,22,50,1,20,2,30
IndiGo,Delhi,Cochin,1.0,6162,24,4,4,55,21,0,16,5
Air India,Delhi,Cochin,1.0,9929,27,5,7,0,19,15,12,15
IndiGo,Mumbai,Hyderabad,0.0,12475,1,3,21,20,22,45,1,25
Multiple carriers,Delhi,Cochin,1.0,12615,9,3,6,40,19,45,13,5
Jet Airways,Kolkata,Banglore,1.0,14151,6,6,17,0,19,10,26,10
IndiGo,Delhi,Cochin,0.0,5601,21,5,14,25,17,40,3,15
Air India,Delhi,Cochin,2.0,11622,9,3,13,15,9,25,20,10
IndiGo,Banglore,New Delhi,1.0,7708,21,3,14,25,19,25,5,0
Air Asia,Kolkata,Banglore,1.0,5192,6,5,7,35,23,30,15,55
Jet Airways,Kolkata,Banglore,1.0,14571,6,6,6,30,23,35,17,5
Multiple carriers,Delhi,Cochin,1.0,11789,15,6,6,0,19,0,13,0
IndiGo,Delhi,Cochin,1.0,8574,27,3,7,30,15,30,8,0
Air Asia,Kolkata,Banglore,0.0,3807,3,4,22,50,1,20,2,30
IndiGo,Kolkata,Banglore,0.0,4804,15,5,9,35,12,20,2,45
Multiple carriers,Delhi,Cochin,1.0,6427,27,3,10,20,1,35,15,15
Air India,Banglore,New Delhi,1.0,6383,21,3,10,30,11,20,24,50
Vistara,Kolkata,Banglore,1.0,9397,9,6,7,10,9,5,25,55
Vistara,Banglore,Delhi,0.0,5403,9,4,11,30,14,20,2,50
Air Asia,Delhi,Cochin,1.0,8759,6,6,7,55,22,25,14,30
Air India,Mumbai,Hyderabad,0.0,3625,1,6,13,55,15,25,1,30
Multiple carriers,Delhi,Cochin,1.0,7408,15,6,8,0,21,0,13,0
IndiGo,Banglore,New Delhi,1.0,5694,21,3,7,30,12,20,4,50
IndiGo,Banglore,Delhi,0.0,3419,6,5,22,10,1,0,2,50
Multiple carriers,Delhi,Cochin,1.0,17703,3,3,18,0,1,35,7,35
Vistara,Banglore,Delhi,0.0,4668,3,6,7,0,9,40,2,40
Jet Airways,Delhi,Cochin,2.0,8938,21,3,19,15,18,50,23,35
Jet Airways,Delhi,Cochin,2.0,15129,9,5,23,5,12,35,13,30
Jet Airways,Kolkata,Banglore,1.0,13067,24,5,20,25,9,45,13,20
Jet Airways,Delhi,Cochin,2.0,10919,27,6,14,35,12,35,22,0
Vistara,Banglore,Delhi,0.0,4878,9,5,17,0,19,35,2,35
Multiple carriers,Delhi,Cochin,1.0,7670,18,5,10,20,1,30,15,10
SpiceJet,Mumbai,Hyderabad,0.0,2385,27,5,13,15,14,45,1,30
Jet Airways,Delhi,Cochin,1.0,12898,21,5,18,15,19,0,24,45
Jet Airways,Delhi,Cochin,1.0,12373,18,5,17,30,12,35,19,5
Jet Airways,Delhi,Cochin,2.0,13344,3,6,5,30,12,35,7,5
Jet Airways,Delhi,Cochin,1.0,15554,9,5,21,50,19,0,21,10
SpiceJet,Kolkata,Banglore,0.0,3841,21,5,6,55,9,30,2,35
IndiGo,Banglore,New Delhi,1.0,8153,1,3,16,55,21,50,4,55
IndiGo,Delhi,Cochin,1.0,5636,15,6,2,0,7,25,5,25
Jet Airways,Delhi,Cochin,1.0,17234,6,3,7,5,4,25,21,20
SpiceJet,Chennai,Kolkata,0.0,3597,18,5,8,20,10,35,2,15
Vistara,Kolkata,Banglore,1.0,16092,24,3,9,55,18,45,8,50
Air Asia,Banglore,Delhi,0.0,4282,12,5,4,55,7,45,2,50
IndiGo,Kolkata,Banglore,1.0,5069,1,4,8,10,13,0,4,50
Air India,Kolkata,Banglore,2.0,12352,24,3,9,25,5,35,20,10
Jet Airways,Delhi,Cochin,1.0,16079,21,5,18,15,19,0,24,45
Jet Airways,Delhi,Cochin,1.0,16079,21,5,22,50,19,0,20,10
Jet Airways,Delhi,Cochin,1.0,12373,9,5,17,30,12,35,19,5
GoAir,Delhi,Cochin,1.0,5281,1,4,10,35,19,35,9,0
SpiceJet,Banglore,Delhi,0.0,3257,12,5,5,55,8,35,2,40
Jet Airways,Delhi,Cochin,1.0,12898,27,5,13,0,12,35,23,35
Jet Airways,Banglore,New Delhi,1.0,9623,15,3,5,50,12,20,6,30
IndiGo,Kolkata,Banglore,1.0,4775,15,4,15,15,20,5,4,50
Jet Airways,Kolkata,Banglore,1.0,10844,9,5,14,5,23,35,9,30
Air India,Delhi,Cochin,2.0,8603,6,6,12,0,7,40,19,40
Jet Airways,Mumbai,Hyderabad,0.0,4160,18,3,10,20,11,50,1,30
Jet Airways,Banglore,New Delhi,1.0,9134,9,3,5,45,8,15,26,30
Jet Airways,Kolkata,Banglore,1.0,10844,12,5,18,55,19,50,24,55
Jet Airways,Kolkata,Banglore,1.0,9899,12,6,6,30,18,15,11,45
IndiGo,Chennai,Kolkata,0.0,3540,6,6,5,15,7,40,2,25
Jet Airways,Delhi,Cochin,1.0,14714,6,6,19,45,4,25,8,40
Air India,Kolkata,Banglore,1.0,6327,18,5,19,0,11,5,16,5
Jet Airways,Banglore,Delhi,0.0,8016,18,6,7,10,10,10,3,0
SpiceJet,Chennai,Kolkata,0.0,3332,27,3,17,45,20,5,2,20
IndiGo,Kolkata,Banglore,1.0,6933,24,3,17,35,22,15,4,40
IndiGo,Delhi,Cochin,1.0,6794,21,5,17,10,1,30,8,20
Air Asia,Banglore,Delhi,0.0,4282,3,4,4,55,7,45,2,50
Jet Airways,Kolkata,Banglore,1.0,14571,9,6,18,55,16,20,21,25
IndiGo,Banglore,New Delhi,1.0,4410,18,3,12,10,17,5,4,55
SpiceJet,Kolkata,Banglore,0.0,4174,15,4,17,10,19,40,2,30
IndiGo,Delhi,Cochin,1.0,6206,9,6,17,10,1,30,8,20
SpiceJet,Banglore,Delhi,0.0,3573,21,5,9,30,12,20,2,50
IndiGo,Delhi,Cochin,1.0,6794,21,5,17,30,1,30,8,0
IndiGo,Kolkata,Banglore,1.0,5930,1,4,21,0,2,15,5,15
IndiGo,Delhi,Cochin,1.0,7640,18,5,14,20,22,30,8,10
Air India,Delhi,Cochin,1.0,6587,21,3,19,0,19,15,24,15
Air India,Delhi,Cochin,2.0,10975,15,6,7,5,9,25,26,20
IndiGo,Kolkata,Banglore,0.0,4148,9,3,15,20,17,55,2,35
IndiGo,Banglore,Delhi,0.0,3419,27,6,22,10,1,0,2,50
Jet Airways,Mumbai,Hyderabad,0.0,5678,24,3,10,20,11,50,1,30
Jet Airways,Banglore,Delhi,0.0,8016,24,6,15,15,18,10,2,55
IndiGo,Kolkata,Banglore,0.0,4778,3,3,5,30,8,20,2,50
Vistara,Delhi,Cochin,0.0,6216,21,6,14,40,17,50,3,10
Multiple carriers,Delhi,Cochin,1.0,7677,6,6,8,30,19,15,10,45
Jet Airways,Kolkata,Banglore,1.0,9663,18,5,8,25,9,20,24,55
IndiGo,Banglore,Delhi,0.0,5740,12,5,8,30,11,20,2,50
Air India,Kolkata,Banglore,2.0,14960,21,5,16,45,8,55,16,10
IndiGo,Banglore,New Delhi,1.0,8662,3,3,13,40,18,35,4,55
Vistara,Banglore,Delhi,0.0,4668,3,6,11,30,14,20,2,50
Air Asia,Banglore,Delhi,0.0,3383,18,6,11,10,13,55,2,45
Multiple carriers,Delhi,Cochin,1.0,9508,3,6,10,0,1,30,15,30
Air India,Delhi,Cochin,2.0,12760,3,3,9,45,9,25,23,40
Jet Airways,Kolkata,Banglore,1.0,10844,9,6,14,5,20,45,6,40
Air Asia,Kolkata,Banglore,1.0,6810,6,6,22,40,10,40,12,0
Air India,Kolkata,Banglore,1.0,10203,15,5,17,30,20,25,26,55
Multiple carriers,Delhi,Cochin,1.0,6795,6,6,12,50,1,30,12,40
IndiGo,Mumbai,Hyderabad,0.0,2754,6,6,19,5,20,35,1,30
Jet Airways,Banglore,New Delhi,1.0,7832,21,3,7,0,13,15,6,15
GoAir,Banglore,New Delhi,0.0,7305,9,3,11,40,14,35,2,55
IndiGo,Banglore,Delhi,0.0,3419,27,5,1,30,4,15,2,45
Jet Airways,Banglore,Delhi,0.0,8016,27,6,11,10,14,5,2,55
IndiGo,Delhi,Cochin,1.0,5684,27,6,17,30,1,30,8,0
IndiGo,Delhi,Cochin,1.0,6818,3,6,5,5,12,10,7,5
SpiceJet,Mumbai,Hyderabad,0.0,1965,21,6,13,15,14,45,1,30
Vistara,Kolkata,Banglore,1.0,8662,6,5,20,20,10,45,14,25
Jet Airways,Banglore,New Delhi,1.0,11507,12,3,9,45,0,30,14,45
Air India,Delhi,Cochin,1.0,8854,6,3,20,30,23,0,26,30
Air India,Delhi,Cochin,2.0,8708,21,3,13,20,19,15,29,55
Air India,Kolkata,Banglore,2.0,12219,1,4,7,0,5,25,22,25
Air India,Delhi,Cochin,2.0,12646,6,6,12,55,19,15,30,20
Multiple carriers,Delhi,Cochin,1.0,13542,21,3,17,30,1,35,8,5
Jet Airways,Kolkata,Banglore,1.0,11134,24,3,13,55,10,5,20,10
Multiple carriers,Delhi,Cochin,1.0,9424,9,5,13,0,1,30,12,30
Vistara,Kolkata,Banglore,1.0,8452,12,6,20,20,10,45,14,25
Air India,Kolkata,Banglore,2.0,10151,6,5,12,0,18,30,30,30
Multiple carriers,Delhi,Cochin,3.0,21829,6,3,11,35,21,0,9,25
IndiGo,Mumbai,Hyderabad,0.0,4049,21,5,6,25,7,55,1,30
IndiGo,Banglore,New Delhi,0.0,6860,9,3,18,25,21,20,2,55
Jet Airways,Kolkata,Banglore,1.0,14571,6,6,20,0,9,20,13,20
Air India,Delhi,Cochin,2.0,12940,1,6,18,45,19,15,24,30
Air India,Delhi,Cochin,1.0,8372,21,5,10,0,19,15,9,15
IndiGo,Kolkata,Banglore,0.0,4804,9,5,15,30,18,5,2,35
IndiGo,Delhi,Cochin,1.0,14871,6,3,18,35,1,35,7,0
Air Asia,Banglore,Delhi,0.0,3383,24,5,4,55,7,45,2,50
Air India,Delhi,Cochin,2.0,13538,21,5,13,20,7,40,18,20
Jet Airways,Kolkata,Banglore,1.0,8529,12,6,6,30,10,5,27,35
Jet Airways,Delhi,Cochin,2.0,13029,9,5,9,40,12,35,26,55
Air India,Delhi,Cochin,1.0,8372,24,6,19,0,7,40,12,40
IndiGo,Banglore,Delhi,0.0,4823,27,5,7,10,10,5,2,55
Air India,Banglore,Delhi,0.0,6961,27,6,17,0,19,45,2,45
Multiple carriers,Delhi,Cochin,1.0,6007,24,6,12,50,21,0,8,10
Jet Airways,Kolkata,Banglore,1.0,13044,12,6,21,10,10,5,12,55
Multiple carriers,Delhi,Cochin,1.0,11789,12,6,10,20,19,0,8,40
GoAir,Delhi,Cochin,1.0,7870,27,6,14,25,19,35,5,10
Multiple carriers,Delhi,Cochin,1.0,13587,27,5,11,30,21,0,9,30
Air India,Mumbai,Hyderabad,0.0,3100,21,5,15,0,16,25,1,25
Jet Airways,Delhi,Cochin,2.0,13292,15,6,9,35,4,25,18,50
Vistara,Banglore,New Delhi,0.0,11913,18,3,16,0,18,35,2,35
Jet Airways,Kolkata,Banglore,1.0,10844,21,5,18,55,16,20,21,25
SpiceJet,Delhi,Cochin,1.0,5511,21,3,15,55,21,55,6,0
Jet Airways,Kolkata,Banglore,1.0,13067,12,5,20,25,14,25,18,0
Multiple carriers,Delhi,Cochin,1.0,13587,1,6,8,0,21,0,13,0
Air India,Kolkata,Banglore,1.0,10413,9,6,17,30,20,25,26,55
Vistara,Banglore,Delhi,0.0,5613,27,4,17,0,19,35,2,35
Multiple carriers,Delhi,Cochin,1.0,13797,24,6,7,5,21,0,13,55
Jet Airways,Kolkata,Banglore,1.0,14151,12,5,20,25,9,45,13,20
Jet Airways,Delhi,Cochin,2.0,21954,6,3,19,10,19,45,24,35
IndiGo,Kolkata,Banglore,0.0,4804,27,5,21,25,0,5,2,40
Jet Airways,Kolkata,Banglore,1.0,9663,18,5,21,10,9,20,12,10
Air India,Kolkata,Banglore,1.0,8366,9,6,9,25,21,50,12,25
Jet Airways,Kolkata,Banglore,1.0,14781,1,5,6,30,16,20,9,50
Multiple carriers,Delhi,Cochin,1.0,10406,1,6,7,5,21,0,13,55
Jet Airways,Kolkata,Banglore,2.0,10118,21,5,6,30,20,50,14,20
Jet Airways,Kolkata,Banglore,1.0,10844,18,5,5,45,19,50,14,5
Air India,Delhi,Cochin,1.0,9929,27,5,9,0,19,15,10,15
Jet Airways,Banglore,New Delhi,1.0,7832,9,3,21,25,7,40,10,15
IndiGo,Delhi,Cochin,1.0,7191,15,5,6,40,21,0,14,20
Jet Airways,Kolkata,Banglore,1.0,8586,1,5,18,55,4,40,9,45
SpiceJet,Kolkata,Banglore,0.0,3873,24,4,6,55,9,30,2,35
Vistara,Delhi,Cochin,0.0,6216,27,5,6,0,9,10,3,10
Jet Airways,Delhi,Cochin,1.0,10262,6,6,7,5,12,35,5,30
IndiGo,Delhi,Cochin,1.0,6979,9,5,11,25,21,0,9,35
Jet Airways,Delhi,Cochin,1.0,14714,1,6,18,15,19,0,24,45
Jet Airways,Delhi,Cochin,2.0,13292,3,6,5,30,19,0,13,30
IndiGo,Delhi,Cochin,1.0,6496,9,5,5,10,10,5,4,55
Multiple carriers,Delhi,Cochin,1.0,15411,6,3,10,20,18,50,8,30
IndiGo,Delhi,Cochin,1.0,6979,15,5,17,10,1,30,8,20
Air India,Delhi,Cochin,1.0,27430,1,3,23,0,19,15,20,15
Jet Airways,Banglore,New Delhi,1.0,13502,6,3,14,5,8,15,18,10
SpiceJet,Banglore,New Delhi,0.0,3873,24,3,20,30,23,20,2,50
IndiGo,Banglore,Delhi,0.0,4823,3,5,7,10,10,5,2,55
Multiple carriers,Delhi,Cochin,1.0,8535,9,4,17,45,1,30,7,45
IndiGo,Banglore,Delhi,0.0,4591,3,5,23,30,2,20,2,50
IndiGo,Banglore,Delhi,0.0,3943,3,6,6,5,8,50,2,45
IndiGo,Delhi,Cochin,1.0,6416,1,6,7,30,21,0,13,30
Air India,Delhi,Cochin,1.0,7952,6,6,9,45,9,25,23,40
Jet Airways,Delhi,Cochin,2.0,11664,21,3,10,20,18,50,32,30
Multiple carriers,Delhi,Cochin,1.0,15078,6,3,8,0,21,0,13,0
Jet Airways,Delhi,Cochin,2.0,8834,21,3,19,10,18,50,23,40
Jet Airways,Banglore,Delhi,0.0,4544,6,4,8,20,11,20,3,0
Jet Airways,Mumbai,Hyderabad,0.0,5678,27,5,2,55,4,20,1,25
Jet Airways,Kolkata,Banglore,1.0,9663,12,5,8,25,9,20,24,55
Jet Airways,Delhi,Cochin,2.0,15129,18,5,5,30,4,25,22,55
Jet Airways,Mumbai,Hyderabad,0.0,2228,15,5,19,35,21,5,1,30
Jet Airways,Kolkata,Banglore,1.0,12692,12,6,9,35,22,5,12,30
IndiGo,Delhi,Cochin,1.0,6442,21,5,11,55,18,10,6,15
IndiGo,Delhi,Cochin,2.0,6494,21,3,7,35,21,20,13,45
IndiGo,Mumbai,Hyderabad,0.0,2754,18,3,2,30,4,0,1,30
Air Asia,Banglore,New Delhi,0.0,4482,24,3,23,25,2,10,2,45
Air India,Delhi,Cochin,2.0,13591,9,5,16,55,19,15,26,20
IndiGo,Delhi,Cochin,1.0,5912,27,5,15,10,20,0,4,50
Jet Airways,Delhi,Cochin,2.0,15129,21,5,19,10,19,0,23,50
Jet Airways,Delhi,Cochin,2.0,11869,21,3,18,25,18,50,24,25
Air India,Kolkata,Banglore,2.0,15107,21,5,14,30,8,55,18,25
Multiple carriers,Delhi,Cochin,1.0,13377,27,5,14,0,1,30,11,30
Jet Airways,Kolkata,Banglore,1.0,10844,15,5,21,10,16,20,19,10
IndiGo,Banglore,New Delhi,0.0,7303,24,3,8,30,11,30,3,0
Jet Airways,Banglore,New Delhi,1.0,9134,15,3,7,0,15,15,8,15
Vistara,Kolkata,Banglore,1.0,9135,12,5,17,0,18,50,25,50
Jet Airways,Kolkata,Banglore,1.0,7064,1,4,8,25,22,35,14,10
Jet Airways,Kolkata,Banglore,1.0,14571,6,6,8,25,19,50,11,25
Jet Airways,Delhi,Cochin,1.0,10262,27,6,18,15,12,35,18,20
Air India,Banglore,New Delhi,1.0,11528,1,3,10,30,11,20,24,50
Air India,Kolkata,Banglore,1.0,6327,9,6,19,0,11,5,16,5
Jet Airways,Delhi,Cochin,2.0,15129,27,5,19,10,19,0,23,50
Air Asia,Kolkata,Banglore,0.0,3807,21,6,10,20,12,55,2,35
Jet Airways,Kolkata,Banglore,1.0,8529,12,6,20,0,12,0,16,0
Multiple carriers,Delhi,Cochin,1.0,6795,9,6,11,40,1,30,13,50
Jet Airways,Kolkata,Banglore,1.0,11134,24,3,18,55,18,10,23,15
Jet Airways,Banglore,New Delhi,1.0,13555,18,3,16,55,7,40,14,45
IndiGo,Delhi,Cochin,1.0,8330,9,5,10,35,1,30,14,55
Jet Airways,Mumbai,Hyderabad,0.0,5678,21,3,15,50,17,20,1,30
Jet Airways,Delhi,Cochin,1.0,12373,18,5,7,5,4,25,21,20
IndiGo,Delhi,Cochin,1.0,12351,9,3,7,30,21,0,13,30
GoAir,Banglore,Delhi,0.0,4632,9,4,7,45,10,40,2,55
Jet Airways,Delhi,Cochin,2.0,13029,21,5,5,30,19,0,13,30
IndiGo,Kolkata,Banglore,0.0,4804,6,6,14,25,16,55,2,30
Multiple carriers Premium economy,Delhi,Cochin,1.0,14629,21,3,6,0,18,50,12,50
IndiGo,Kolkata,Banglore,0.0,4804,3,5,4,40,7,15,2,35
Air India,Delhi,Cochin,1.0,7480,24,5,20,40,9,25,12,45
Jet Airways,Kolkata,Banglore,1.0,14151,15,5,9,35,10,55,25,20
Air Asia,Kolkata,Banglore,1.0,5554,24,3,19,55,23,30,3,35
SpiceJet,Delhi,Cochin,1.0,5409,9,6,17,55,22,50,4,55
Jet Airways,Mumbai,Hyderabad,2.0,24210,6,3,19,50,16,50,21,0
Jet Airways,Kolkata,Banglore,1.0,10844,21,5,21,10,16,20,19,10
Multiple carriers,Delhi,Cochin,1.0,8323,9,4,6,0,13,20,7,20
Air India,Kolkata,Banglore,2.0,11752,9,6,9,25,13,45,28,20
Jet Airways,Kolkata,Banglore,1.0,15149,6,5,14,5,23,35,9,30
Jet Airways,Delhi,Cochin,2.0,15339,27,6,23,5,4,25,29,20
IndiGo,Banglore,New Delhi,1.0,6114,15,3,7,30,12,20,4,50
Multiple carriers,Delhi,Cochin,1.0,11142,9,5,7,5,19,15,12,10
Multiple carriers,Delhi,Cochin,1.0,15353,6,3,11,40,19,15,7,35
SpiceJet,Chennai,Kolkata,0.0,3597,24,5,9,45,12,0,2,15
Jet Airways,Delhi,Cochin,2.0,15318,6,6,20,0,4,25,8,25
Multiple carriers,Delhi,Cochin,1.0,8266,21,5,6,0,19,15,13,15
Jet Airways,Kolkata,Banglore,1.0,13067,6,5,9,35,19,10,9,35
Air India,Kolkata,Banglore,1.0,7893,1,4,16,50,7,55,15,5
Jet Airways,Banglore,Delhi,0.0,8016,9,6,8,20,11,20,3,0
Jet Airways,Kolkata,Banglore,1.0,13067,6,5,17,0,10,55,17,55
Air India,Mumbai,Hyderabad,1.0,10208,12,3,19,40,9,10,13,30
Multiple carriers,Delhi,Cochin,1.0,10877,12,6,11,25,19,0,7,35
Jet Airways,Delhi,Cochin,1.0,12373,9,5,19,15,4,25,9,10
IndiGo,Kolkata,Banglore,0.0,6565,24,3,10,10,12,55,2,45
Jet Airways,Banglore,Delhi,0.0,8016,9,6,18,55,22,0,3,5
Jet Airways,Mumbai,Hyderabad,0.0,3210,18,5,19,35,21,5,1,30
Jet Airways,Kolkata,Banglore,1.0,14151,18,5,17,0,23,35,6,35
IndiGo,Chennai,Kolkata,0.0,5277,6,6,22,5,0,25,2,20
IndiGo,Banglore,Delhi,0.0,3943,6,6,1,30,4,15,2,45
Air India,Delhi,Cochin,0.0,5201,3,6,5,10,8,0,2,50
Air India,Mumbai,Hyderabad,0.0,2575,24,3,21,5,22,25,1,20
Jet Airways,Delhi,Cochin,2.0,12273,27,3,6,20,4,25,22,5
Air India,Delhi,Cochin,1.0,6587,27,4,5,15,6,50,25,35
IndiGo,Banglore,Delhi,0.0,3943,9,5,10,10,13,0,2,50
IndiGo,Kolkata,Banglore,1.0,4864,6,5,7,10,12,40,5,30
Jet Airways,Delhi,Cochin,2.0,13014,24,6,9,40,12,35,26,55
Jet Airways,Delhi,Cochin,2.0,14300,27,6,8,10,12,35,28,25
Jet Airways,Kolkata,Banglore,1.0,14151,18,5,17,0,19,10,26,10
Air India,Delhi,Cochin,1.0,7480,15,6,12,30,9,25,20,55
Jet Airways,Kolkata,Banglore,1.0,9663,6,5,14,5,9,20,19,15
IndiGo,Delhi,Cochin,1.0,14871,6,3,16,0,1,35,9,35
Multiple carriers,Delhi,Cochin,1.0,15147,6,3,15,15,1,35,10,20
Jet Airways,Kolkata,Banglore,1.0,9314,1,5,20,25,23,35,27,10
Multiple carriers,Delhi,Cochin,1.0,6943,27,5,14,0,1,30,11,30
Multiple carriers,Delhi,Cochin,1.0,9646,27,5,13,15,22,30,9,15
IndiGo,Chennai,Kolkata,0.0,6297,15,3,14,40,17,5,2,25
SpiceJet,Chennai,Kolkata,0.0,3543,3,5,17,45,20,5,2,20
Vistara,Chennai,Kolkata,0.0,11982,3,5,17,45,20,5,2,20
IndiGo,Chennai,Kolkata,0.0,3858,24,6,11,35,14,0,2,25
IndiGo,Banglore,Delhi,0.0,3943,18,5,22,10,1,0,2,50
Multiple carriers,Delhi,Cochin,1.0,7845,27,3,6,0,15,30,9,30
IndiGo,Delhi,Cochin,1.0,6416,6,6,8,30,21,0,12,30
Multiple carriers,Delhi,Cochin,1.0,7005,9,6,12,50,21,0,8,10
Air Asia,Banglore,Delhi,0.0,7080,12,4,23,55,2,45,2,50
SpiceJet,Mumbai,Hyderabad,0.0,1965,3,5,13,15,14,45,1,30
Air India,Delhi,Cochin,2.0,10231,15,6,5,0,7,40,26,40
IndiGo,Delhi,Cochin,0.0,6015,18,5,5,35,8,50,3,15
Air India,Delhi,Cochin,2.0,12488,3,6,18,30,19,15,24,45
IndiGo,Delhi,Cochin,0.0,6834,15,5,21,5,0,20,3,15
Jet Airways,Banglore,Delhi,0.0,7229,18,5,17,45,20,45,3,0
IndiGo,Delhi,Cochin,1.0,5298,6,4,6,50,12,10,5,20
Multiple carriers,Delhi,Cochin,1.0,8283,18,5,17,0,1,30,8,30
Vistara,Banglore,Delhi,0.0,4878,15,6,9,45,12,35,2,50
Multiple carriers,Delhi,Cochin,1.0,15147,6,3,8,55,15,30,6,35
Jet Airways,Delhi,Cochin,2.0,16914,9,3,5,25,4,25,23,0
SpiceJet,Chennai,Kolkata,0.0,3597,3,6,17,45,20,5,2,20
Vistara,Banglore,Delhi,0.0,4878,21,5,17,0,19,35,2,35
Jet Airways,Banglore,New Delhi,1.0,11087,18,3,16,55,10,25,17,30
IndiGo,Kolkata,Banglore,0.0,4804,24,4,14,25,16,55,2,30
Jet Airways,Kolkata,Banglore,1.0,10844,18,5,16,30,12,0,19,30
Jet Airways,Delhi,Cochin,1.0,14714,3,6,17,30,4,25,10,55
IndiGo,Mumbai,Hyderabad,0.0,3175,15,3,12,0,13,25,1,25
Air Asia,Kolkata,Banglore,0.0,5964,1,3,19,35,22,5,2,30
IndiGo,Kolkata,Banglore,1.0,4775,6,5,15,15,20,5,4,50
Multiple carriers,Delhi,Cochin,1.0,14973,3,3,4,0,13,20,9,20
SpiceJet,Kolkata,Banglore,0.0,4174,1,6,17,10,19,40,2,30
